date,actual consumption,predicted_consumption,population,demand
2017-12-27,3060962,3012849.8,,
2017-12-28,2903204,2992198.8,,
2017-12-29,2968646,2985149.2,,
2017-12-30,3080367,3058476.0,,
2017-12-31,2964082,2968351.2,,
2018-01-01,3123169,3129524.0,,
2018-01-02,3065168,3106669.8,,
2018-01-03,3198051,3178268.2,,
2018-01-04,3169224,3170010.8,,
2018-01-05,3266757,3228632.8,,
2018-01-06,3251532,3231065.5,,
2018-01-07,3159889,3177606.8,,
2018-01-08,3216290,3204555.0,,
2018-01-09,3156679,3199080.2,,
2018-01-10,3212406,3204275.8,,
2018-01-11,3143194,3171284.8,,
2018-01-12,3298605,3233226.5,,
2018-01-13,3231849,3238551.5,,
2018-01-14,3290417,3245630.5,,
2018-01-15,3086313,3152048.5,,
2018-01-16,3290152,3219728.2,,
2018-01-17,3094869,3154059.8,,
2018-01-18,3073946,3115555.5,,
2018-01-19,3211157,3214644.8,,
2018-01-20,3287083,3231944.0,,
2018-01-21,3171548,3180927.0,,
2018-01-22,3285600,3224533.0,,
2018-01-23,3199577,3209035.8,,
2018-01-24,3302841,3223880.5,,
2018-01-25,3129817,3176927.2,,
2018-01-26,3265955,3259423.0,,
2018-01-27,3254129,3226636.0,,
2018-01-28,3195964,3216205.5,,
2018-01-29,3263453,3216989.0,,
2018-01-30,3138322,3158514.2,,
2018-01-31,3316436,3274386.0,,
2018-02-01,3308047,3252570.2,,
2018-02-02,3111227,3151494.5,,
2018-02-03,3148988,3203076.0,,
2018-02-04,3306309,3196520.8,,
2018-02-05,3115389,3182580.8,,
2018-02-06,3161534,3207202.2,,
2018-02-07,3303996,3186940.0,,
2018-02-08,3297214,3231708.5,,
2018-02-09,3151145,3227668.2,,
2018-02-10,3170450,3195459.5,,
2018-02-11,3151639,3195376.5,,
2018-02-12,3331624,3265400.2,,
2018-02-13,3336397,3270328.5,,
2018-02-14,3265498,3256868.5,,
2018-02-15,3197308,3220717.2,,
2018-02-16,3267762,3233917.5,,
2018-02-17,3177066,3158096.5,,
2018-02-18,3149517,3171751.0,,
2018-02-19,3216679,3210125.0,,
2018-02-20,3276036,3241896.2,,
2018-02-21,3324628,3226872.2,,
2018-02-22,3104918,3183185.8,,
2018-02-23,3342221,3226309.0,,
2018-02-24,3100624,3171474.5,,
2018-02-25,3116035,3173708.8,,
2018-02-26,3306176,3308013.8,,
2018-02-27,3277984,3265248.0,,
2018-02-28,3198508,3255619.5,,
2018-03-01,3192376,3218529.5,,
2018-03-02,3204944,3171841.0,,
2018-03-03,3262770,3236495.0,,
2018-03-04,3097527,3184294.8,,
2018-03-05,3247439,3202730.2,,
2018-03-06,3269491,3209856.2,,
2018-03-07,3155412,3177989.0,,
2018-03-08,3174029,3217161.8,,
2018-03-09,3348484,3223470.5,,
2018-03-10,3107545,3184809.2,,
2018-03-11,3125634,3164852.2,,
2018-03-12,3227387,3260532.2,,
2018-03-13,3297498,3280666.0,,
2018-03-14,3342346,3245863.2,,
2018-03-15,3262677,3205306.2,,
2018-03-16,3262650,3226753.2,,
2018-03-17,3119202,3172636.0,,
2018-03-18,3182325,3186353.5,,
2018-03-19,3258674,3250349.8,,
2018-03-20,3230538,3242325.2,,
2018-03-21,3110788,3224437.5,,
2018-03-22,3139130,3187553.2,,
2018-03-23,3281412,3233584.8,,
2018-03-24,3258135,3196272.8,,
2018-03-25,3306146,3225878.5,,
2018-03-26,3337259,3329010.0,,
2018-03-27,3286235,3285781.0,,
2018-03-28,3268948,3275867.0,,
2018-03-29,3273982,3265337.2,,
2018-03-30,3183454,3210361.2,,
2018-03-31,3128340,3129653.2,,
2018-04-01,3122010,3157627.5,,
2018-04-02,3263022,3234784.8,,
2018-04-03,3185224,3257479.2,,
2018-04-04,3286889,3229742.5,,
2018-04-05,3286004,3226329.5,,
2018-04-06,3160171,3206297.2,,
2018-04-07,3173804,3175351.0,,
2018-04-08,3251998,3208800.2,,
2018-04-09,3301027,3263926.5,,
2018-04-10,3275347,3255795.5,,
2018-04-11,3360934,3256555.0,,
2018-04-12,3226629,3237715.0,,
2018-04-13,3250697,3225289.5,,
2018-04-14,3119844,3191382.2,,
2018-04-15,3164502,3197282.2,,
2018-04-16,3308869,3251209.0,,
2018-04-17,3366848,3271379.8,,
2018-04-18,3267796,3268141.0,,
2018-04-19,3258647,3253464.2,,
2018-04-20,3208983,3233691.2,,
2018-04-21,3330290,3222965.8,,
2018-04-22,3216681,3211240.2,,
2018-04-23,3209299,3242966.5,,
